rq,test,statistic,p,decision
RQ4,Kruskal-Wallis on domain-level SpAM nearest-neighbour distance,H=24.45,< .001,Domains differ
RQ5,Spearman + MixedLM between SpAM dispersion and VFT switch cost,rho=-0.07,= 0.581,Not significant
