domain,word,nn_dist,mean_dist
animals,bear,0.1940651663455249,0.37941828136553823
animals,billi,0.0743136654498893,0.19482246891452776
animals,buffalo,0.05885610386638642,0.4879614028384547
animals,cat,0.13085983645644575,0.3993143083039783
animals,cheetah,0.08624293612947848,0.3800105347630897
animals,chuha,0.10215884368640744,0.29719348759851333
animals,cow,0.05770155621840624,0.408823615166938
animals,deer,0.1797387829370597,0.4235183901107422
animals,dog,0.13085983645644575,0.41225474799609346
animals,elephant,0.1940651663455249,0.5700702419165967
animals,fox,0.17897005364033977,0.39569485314370756
animals,gadha,0.07161211449566904,0.287158779809733
animals,ghoda,0.07161211449566904,0.26129048341549643
animals,giraffe,0.23681245466019446,0.5294337760270931
animals,goat,0.05770155621840624,0.3652323683324333
animals,hathi,0.11782266694785033,0.2897639414416016
animals,horse,0.17403064143197872,0.38119312796787136
animals,kutta,0.10620842078765673,0.2331429065172694
animals,leopard,0.1342214464786042,0.36064993238312937
animals,lion,0.10336754343911289,0.3777938221458007
animals,lomdi,0.0743136654498893,0.15796762136822823
animals,ox,0.05885610386638642,0.5590010058416386
animals,sher,0.05020925750608303,0.23409918619448403
animals,tiger,0.05020925750608303,0.32180264603532394
animals,zebra,0.24196541701536403,0.38313845504907224
animals,कुत्ता,0.12801419914984424,0.2981200823436007
animals,खरगोश,0.10701848081657901,0.2771843778748778
animals,गधा,0.0757140713755061,0.324063577371403
animals,गाय,0.044802411087851914,0.265304168231075
animals,घोड़ा,0.0757140713755061,0.26806473568732175
animals,चीता,0.07131274358975989,0.3099854792352559
animals,बंदर,0.10311440092497354,0.30601087687767287
animals,बकरी,0.048655697817774624,0.21900322340120804
animals,बाघ,0.06857390041149777,0.3106476432187529
animals,बिल्ली,0.16290120613613585,0.2916508004589648
animals,भालू,0.14047138811789353,0.35956034780929547
animals,भैंस,0.044802411087851914,0.2408825938878214
animals,शेर,0.06857390041149777,0.30584882526606605
animals,हाथी,0.20071592750200373,0.3392440661189362
foods,bhindi,0.08780601035558656,0.4580233610062394
foods,burger,0.16168833686237233,0.5918651333454841
foods,chaval,0.08991651370654223,0.45399315538468676
foods,chawal,0.05707512863799932,0.20330002743568096
foods,dahi,0.11453873075819983,0.35269387131953633
foods,dal,0.05707512863799932,0.38933272477974923
foods,idli,0.11014970746305279,0.27947650422757425
foods,maggi,0.19788024488428055,0.44084523451843693
foods,pizza,0.16168833686237233,0.6929992281156624
foods,rice,0.06176651205781947,0.4586866795431856
foods,roti,0.08991651370654223,0.4138786789733367
foods,sabzi,0.08780601035558656,0.21419014550360338
foods,soyabean,0.12001741095038199,0.1891512435989954
foods,अंडा,0.13958271709091633,0.27893291403414355
foods,आम,0.051642551780891416,0.221853625759029
foods,केला,0.051642551780891416,0.19245947342570965
foods,चाय,0.16915628835217716,0.32624138823838145
foods,चावल,0.0994116441659346,0.3491269735784372
foods,टमाटर,0.051035239183875335,0.18733311787674367
foods,दही,0.06388575415838924,0.2546574457108925
foods,दाल,0.0994116441659346,0.21759341762716222
foods,दूध,0.08714372434958355,0.2661064790929456
foods,पनीर,0.06388575415838924,0.14925064784417091
foods,फल,0.19956052755303932,0.24275972316609776
foods,मक्खन,0.09398607865714241,0.3371365847228328
foods,रोटी,0.10676848119096019,0.2161470040751545
foods,सेब,0.051035239183875335,0.49545983535310895
colours,black,0.3419099450686499,0.6325932644032284
colours,blue,0.08986099296205934,0.4695728591191775
colours,brown,0.3419099450686499,0.6727312287260234
colours,cyan,0.08986099296205934,0.48203839529699705
colours,green,0.2191734722997468,0.4670194832511006
colours,grey,0.1896753199077676,0.47805929136779557
colours,hara,0.1742156389797349,0.2559479928195025
colours,indigo,0.08918632609723587,0.4444329581514374
colours,kaala,0.3157719313588542,0.3680430776422088
colours,maroon,0.191709704337646,0.42525957272451836
colours,neela,0.1742156389797349,0.2626455904527065
colours,orange,0.23884102862701498,0.5088585174973632
colours,peela,0.19730771790025015,0.2449213672160797
colours,pink,0.2164931281498869,0.49468029461200996
colours,purple,0.3121796664338277,0.5657672890509912
colours,red,0.19280216384242854,0.4864951024578338
colours,silver,0.15699384120884896,0.7056055861799876
colours,violet,0.08918632609723587,0.47603544831394934
colours,white,0.15699384120884896,0.5793655311669422
colours,yellow,0.33252750504376843,0.4700016139786004
body-parts,aankh,0.06861814963119967,0.2328753635741562
body-parts,baal,0.15477728517287279,0.23437074582821213
body-parts,hath,0.09308467296073858,0.3320973012024245
body-parts,kaan,0.10487636596149288,0.2224502528197658
body-parts,naak,0.06861814963119967,0.26672686905240234
body-parts,pair,0.09308467296073858,0.3260690205333223
body-parts,pet,0.29971336878684157,0.3779481160288425
body-parts,आँख,0.08697285423162462,0.230816600631599
body-parts,आंख,0.061713560077300764,0.16572059846656415
body-parts,उंगली,0.07144063821186476,0.26893511239794504
body-parts,कान,0.10102549330825454,0.2352379962378439
body-parts,घुटना,0.05647688337486178,0.26306828992126713
body-parts,दिल,0.07669624113977926,0.2719014977439077
body-parts,नाक,0.061713560077300764,0.19579946937276937
body-parts,पेट,0.07669624113977926,0.2105360163181529
body-parts,पैर,0.05647688337486178,0.2937185052585962
body-parts,बाल,0.09213647706904914,0.30006148049478254
body-parts,मुँह,0.0778106228831238,0.2093005804933684
body-parts,सिर,0.09213647706904914,0.29543187442953345
body-parts,हाथ,0.07144063821186476,0.22917555057013653
