domain,rho,p,n,p_bh
animals,0.07707646291893551,0.40677238712693947,118,0.6752896723912912
foods,-0.06587005227781928,0.5064672542934684,104,0.6752896723912912
colours,-0.08571428571428573,0.8717434402332361,6,0.8717434402332361
body-parts,-0.10839291794347977,0.3119667455424112,89,0.6752896723912912
