d1,d2,U,p_raw,p_bh
animals,foods,556.0,0.7052191976124458,0.7052191976124458
animals,colours,135.0,4.578650784959238e-05,0.00010879850857248902
animals,body-parts,447.0,0.36549247006710683,0.4886967281766537
foods,colours,82.0,5.439925428624451e-05,0.00010879850857248902
foods,body-parts,309.0,0.4072472734805448,0.4886967281766537
colours,body-parts,357.0,2.2781678083263575e-05,0.00010879850857248902
