domain,Hindi/Hinglish,English,total_responses,pct_hindi,pct_english
animals,233,132,365,63.83561643835617,36.16438356164384
body-parts,191,15,206,92.71844660194175,7.281553398058252
colours,41,106,147,27.89115646258503,72.10884353741497
foods,258,64,322,80.12422360248446,19.875776397515526
